tick,H_F,H_M,C_F,C_M,sum_nutrition,H_g_speed,C_g_speed,H_g_vision,C_g_vision,H_g_repro,C_g_repro
10,79,61,27,13,23883.97452425662,0.5135799684197292,0.5694730254295259,0.5033760527123757,0.4630252244274411,0.4866621905439856,0.5049011085593506
20,79,61,27,13,24314.02504669426,0.5135799684197292,0.5694730254295259,0.5033760527123757,0.4630252244274411,0.4866621905439856,0.5049011085593506
30,79,61,27,13,24696.763695304027,0.5135799684197292,0.5694730254295259,0.5033760527123757,0.4630252244274411,0.4866621905439856,0.5049011085593506
40,79,61,27,13,25042.277236128946,0.5135799684197292,0.5694730254295259,0.5033760527123757,0.4630252244274411,0.4866621905439856,0.5049011085593506
50,79,61,27,13,25348.88328950901,0.5135799684197292,0.5694730254295259,0.5033760527123757,0.4630252244274411,0.4866621905439856,0.5049011085593506
60,78,61,27,13,25626.19718429366,0.5124966784382948,0.5694730254295259,0.5056633849264722,0.4630252244274411,0.4881792581684648,0.5049011085593506
70,77,59,27,12,25882.887606751166,0.510765188700808,0.558541614656267,0.5046755900963211,0.46953836653151154,0.4887048543115301,0.4984391648479913
80,76,59,26,12,26128.180076204084,0.512035206043171,0.5482954118565481,0.5026146048411899,0.468417553932038,0.48588157409245325,0.5000537057941689
90,75,59,21,11,26342.77155674388,0.5086774083156699,0.4998301444169792,0.502449236003951,0.4917425413668122,0.4822947068324001,0.5316420185062372
100,74,59,17,8,26555.266162376854,0.5118143422010816,0.4762580268589867,0.5007675733819869,0.46005520358508706,0.48113352515609176,0.5229275810195869
110,74,58,11,8,26752.041877892756,0.5131803806483468,0.4190515927196573,0.49810920875268955,0.44044455411905864,0.4815419389019525,0.5765636511476975
120,74,58,11,8,26919.895879804884,0.5131803806483468,0.4190515927196573,0.49810920875268955,0.44044455411905864,0.4815419389019525,0.5765636511476975
130,74,57,5,8,27076.79246221673,0.5120173598908979,0.45503014817215615,0.5003242891757992,0.3543593407254522,0.4824447027782787,0.5561630166328363
140,73,57,5,7,27207.21574183914,0.5143965000199492,0.4840747419051972,0.5027941686477242,0.33290118741247066,0.48537384625304364,0.5246840452664913
150,73,57,4,6,27331.0726923244,0.5143965000199492,0.5549361051524138,0.5027941686477242,0.32309153060627727,0.48537384625304364,0.4903026921884546
160,73,56,4,6,27447.65996328933,0.5135684089715994,0.5549361051524138,0.5050144290039604,0.32309153060627727,0.48757125456906897,0.4903026921884546
170,73,55,4,6,27567.059940031933,0.5113338051172737,0.5549361051524138,0.5088847728413372,0.32309153060627727,0.48608401235198584,0.4903026921884546
180,72,55,4,6,27682.17716445273,0.5079205496101528,0.5549361051524138,0.5091797131385166,0.32309153060627727,0.48525028383238855,0.4903026921884546
190,72,55,4,6,27783.655160143604,0.5079205496101528,0.5549361051524138,0.5091797131385166,0.32309153060627727,0.48525028383238855,0.4903026921884546
200,72,55,3,6,27875.12536037833,0.5079205496101528,0.5209072560454383,0.5091797131385166,0.3357109266185861,0.48525028383238855,0.5050280540604369
210,72,55,3,5,27955.790492297812,0.5079205496101528,0.5077662605316142,0.5091797131385166,0.36199381837528694,0.48525028383238855,0.5316492135245809
220,72,55,3,5,28023.70035176309,0.5079205496101528,0.5077662605316142,0.5091797131385166,0.36199381837528694,0.48525028383238855,0.5316492135245809
230,72,54,2,5,28093.245267272927,0.509966067303685,0.5077630529375086,0.5059778874571058,0.37238015436688554,0.4819075347019152,0.5338698187998481
240,72,54,2,5,28160.23817918546,0.509966067303685,0.5077630529375086,0.5059778874571058,0.37238015436688554,0.4819075347019152,0.5338698187998481
250,72,54,2,5,28228.55838129888,0.509966067303685,0.5077630529375086,0.5059778874571058,0.37238015436688554,0.4819075347019152,0.5338698187998481
260,70,54,2,5,28296.601986647052,0.507532009779082,0.5077630529375086,0.5105318199472899,0.37238015436688554,0.48715931835050663,0.5338698187998481
270,70,54,2,4,28358.260949686868,0.507532009779082,0.5594138275082242,0.5105318199472899,0.31403039600843313,0.48715931835050663,0.4874405140538906
280,69,54,2,4,28413.88313719117,0.505638308320693,0.5594138275082242,0.5103155965446052,0.31403039600843313,0.4870630901174652,0.4874405140538906
290,69,54,2,4,28471.25678927268,0.505638308320693,0.5594138275082242,0.5103155965446052,0.31403039600843313,0.4870630901174652,0.4874405140538906
300,69,54,2,4,28521.821948047807,0.505638308320693,0.5594138275082242,0.5103155965446052,0.31403039600843313,0.4870630901174652,0.4874405140538906
310,69,54,2,3,28573.287369778474,0.505638308320693,0.5039331444211319,0.5103155965446052,0.37349208693332026,0.4870630901174652,0.5450808488495427
320,69,54,2,3,28620.49609504418,0.505638308320693,0.5039331444211319,0.5103155965446052,0.37349208693332026,0.4870630901174652,0.5450808488495427
330,69,54,2,3,28667.280112738725,0.505638308320693,0.5039331444211319,0.5103155965446052,0.37349208693332026,0.4870630901174652,0.5450808488495427
340,69,54,2,3,28718.454009926958,0.505638308320693,0.5039331444211319,0.5103155965446052,0.37349208693332026,0.4870630901174652,0.5450808488495427
350,69,54,2,3,28769.021458928702,0.505638308320693,0.5039331444211319,0.5103155965446052,0.37349208693332026,0.4870630901174652,0.5450808488495427
360,69,54,1,3,28806.5842809774,0.505638308320693,0.5971738447728678,0.5103155965446052,0.39180874123575427,0.4870630901174652,0.49927074948518535
